rodent_record_id,study_id,scientificName,eventDate,locality,country,verbatimLocality,coordinate_resolution,decimalLatitude,decimalLongitude,individualCount,trapEffort,trapEffortResolution
21382,81,Bandicota indica,10/07/1905,Conghua District,China,residential areas,district,23.65,113.67,4,,
21383,81,Rattus flavipectus,10/07/1905,Conghua District,China,residential areas,district,23.65,113.67,3,,
21384,81,Rattus losea,10/07/1905,Conghua District,China,residential areas,district,23.65,113.67,1,,
21385,81,Rattus norvegicus,10/07/1905,Conghua District,China,residential areas,district,23.65,113.67,20,,
21386,81,Suncus murinus,10/07/1905,Conghua District,China,residential areas,district,23.65,113.67,22,,
21387,81,Rattus norvegicus,10/07/1905,Haizhu District,China,residential areas,district,23.09,113.35,50,,
21388,82,Peromyscus maniculatus,2013-09/2018-10,Yosemite Valley,USA,peridomestic,site,37.746,-119.594,148,1574,site
21389,82,Peromyscus boylii,2013-09/2018-10,Yosemite Valley,USA,peridomestic,site,37.746,-119.594,70,1574,site
21390,82,Sorex spp.,2013-09/2018-10,Yosemite Valley,USA,peridomestic,site,37.746,-119.594,2,1574,site
21391,82,Mus musculus,2013-09/2018-10,Yosemite Valley,USA,peridomestic,site,37.746,-119.594,5,1574,site
21392,82,Rattus rattus,2013-09/2018-10,Yosemite Valley,USA,peridomestic,site,37.746,-119.594,2,1574,site
21393,82,Peromyscus spp.,2013-09/2018-10,Yosemite Valley,USA,peridomestic,site,37.746,-119.594,4,1574,site
21394,82,Peromyscus maniculatus,2014-11/2018-10,Yosemite Valley,USA,natural area,site,37.746,-119.594,7,223,site
21395,82,Peromyscus boylii,2014-11/2018-10,Yosemite Valley,USA,natural area,site,37.746,-119.594,26,223,site
21396,82,Sorex spp.,2014-11/2018-10,Yosemite Valley,USA,natural area,site,37.746,-119.594,1,223,site
21397,82,Peromyscus maniculatus,2013-09/2018-10,Tuolumne Meadows,USA,developed area,site,37.873,-119.436,179,534,site
21398,82,Neotoma cinerea,2013-09/2018-10,Tuolumne Meadows,USA,developed area,site,37.873,-119.436,8,534,site
21399,82,Tamias spp.,2013-09/2018-10,Tuolumne Meadows,USA,developed area,site,37.873,-119.436,3,534,site
21400,82,Callospermophilus lateralis,2013-09/2018-10,Tuolumne Meadows,USA,developed area,site,37.873,-119.436,4,534,site
21401,82,Microtus longicaudus,2013-09/2018-10,Tuolumne Meadows,USA,developed area,site,37.873,-119.436,1,534,site
21402,83,Apodemus agrarius,2012/2013,Volyn Province,Ukraine,,province,50.741,25.354,408,10575,study
21403,83,Apodemus flavicollis,2012/2013,Volyn Province,Ukraine,,province,50.741,25.354,23,10575,study
21404,83,Apodemus sylvaticus,2012/2013,Volyn Province,Ukraine,,province,50.741,25.354,146,10575,study
21405,83,Dryomys nitedula,2012/2013,Volyn Province,Ukraine,,province,50.741,25.354,1,10575,study
21406,83,Micromys minutus,2012/2013,Volyn Province,Ukraine,,province,50.741,25.354,1,10575,study
21407,83,Microtus arvalis,2012/2013,Volyn Province,Ukraine,,province,50.741,25.354,78,10575,study
21408,83,Microtus oeconomus,2012/2013,Volyn Province,Ukraine,,province,50.741,25.354,18,10575,study
21409,83,Mus domesticus,2012/2013,Volyn Province,Ukraine,,province,50.741,25.354,3,10575,study
21410,83,Mus musculus,2012/2013,Volyn Province,Ukraine,,province,50.741,25.354,3,10575,study
21411,83,Muscardinus avellinarius,2012/2013,Volyn Province,Ukraine,,province,50.741,25.354,1,10575,study
21412,83,Myodes glareolus,2012/2013,Volyn Province,Ukraine,,province,50.741,25.354,434,10575,study
21413,83,Neomys anomalus,2012/2013,Volyn Province,Ukraine,,province,50.741,25.354,1,10575,study
21414,83,Rattus norvegicus,2012/2013,Volyn Province,Ukraine,,province,50.741,25.354,2,10575,study
21415,83,Sicista betulina,2012/2013,Volyn Province,Ukraine,,province,50.741,25.354,4,10575,study
21416,83,Mustela nivalus,2012/2013,Volyn Province,Ukraine,,province,50.741,25.354,3,10575,study
21417,83,Sorex spp.,2012/2013,Volyn Province,Ukraine,,province,50.741,25.354,1,10575,study
21418,83,Sorex araneus,2012/2013,Volyn Province,Ukraine,,province,50.741,25.354,66,10575,study
21419,83,Sorex minutus,2012/2013,Volyn Province,Ukraine,,province,50.741,25.354,63,10575,study
21420,84,Microtus agrestis,09/03/2015,Cheese Sike,UK,"grass, clear-cut",site,55.2189972,-2.5406944,18,,
21421,84,Microtus agrestis,09/03/2015,Coal Sike,UK,"grass, clear-cut",site,55.2356528,-2.6046306,2,,
21422,84,Microtus agrestis,09/03/2015,Geordies Knowe,UK,"grass, clear-cut",site,55.1848917,-2.5841806,12,,
21423,84,Microtus agrestis,09/03/2015,Ravenshill,UK,"grass, clear-cut",site,55.2418194,-2.5917806,4,,
21424,84,Microtus agrestis,09/03/2015,Scaup,UK,"grass, clear-cut",site,55.2622722,-2.5447361,12,,
21425,85,Mus minutoides,2019-05/2020-03,Lamberene,Gabon,,town,-0.688,10.23,41,,
21426,85,Mus musculus,2019-05/2020-03,Lamberene,Gabon,,town,-0.688,10.23,3,,
21427,85,Praomys missonei,2019-05/2020-03,Lamberene,Gabon,,town,-0.688,10.23,65,,
21428,85,Lophuromys sikapusi,2019-05/2020-03,Lamberene,Gabon,,town,-0.688,10.23,6,,
21429,85,Lemniscomys striatus,2019-05/2020-03,Lamberene,Gabon,,town,-0.688,10.23,3,,
21430,85,Lophuromys sabuni,2019-05/2020-03,Lamberene,Gabon,,town,-0.688,10.23,1,,
21431,85,Hybomys univittatus,2019-05/2020-03,Lamberene,Gabon,,town,-0.688,10.23,5,,
21432,85,Oenomys hypoxanthus,2019-05/2020-03,Lamberene,Gabon,,town,-0.688,10.23,6,,
21433,85,Stochomys longicaudatus,2019-05/2020-03,Lamberene,Gabon,,town,-0.688,10.23,6,,
21434,85,Rattus rattus,2019-05/2020-03,Lamberene,Gabon,,town,-0.688,10.23,16,,
