pathogen_record_id,associated_rodent_record_id,study_id,associatedTaxa,family,scientificName,assay,tested,positive,negative,number_inconclusive,note
req_71,req_71,req_1,Akodon azarae,Hantaviridae,,ELISA,1,0,1,,
req_72,req_72,req_1,Scapteromys aquaticus,Hantaviridae,,ELISA,1,1,0,,
req_73,req_73,req_1,Scapteromys aquaticus,Hantaviridae,,ELISA,1,0,1,,
req_74,req_74,req_1,Scapteromys aquaticus,Hantaviridae,,ELISA,1,1,0,,
req_75,req_75,req_1,Scapteromys aquaticus,Hantaviridae,,ELISA,1,0,1,,
req_76,req_76,req_1,Scapteromys aquaticus,Hantaviridae,,ELISA,1,0,1,,
req_77,req_77,req_1,Scapteromys aquaticus,Hantaviridae,,ELISA,1,1,0,,
req_78,req_78,req_1,Scapteromys aquaticus,Hantaviridae,,ELISA,1,0,1,,
req_79,req_79,req_1,Scapteromys aquaticus,Hantaviridae,,ELISA,1,0,1,,
req_80,req_80,req_1,Akodon azarae,Hantaviridae,,ELISA,1,0,1,,
req_81,req_81,req_1,Scapteromys aquaticus,Hantaviridae,,ELISA,1,0,1,,
req_82,req_82,req_1,Scapteromys aquaticus,Hantaviridae,,ELISA,1,0,1,,
req_83,req_83,req_1,Akodon azarae,Hantaviridae,,ELISA,1,0,1,,
req_84,req_84,req_1,Scapteromys aquaticus,Hantaviridae,,ELISA,1,1,0,,
req_85,req_85,req_1,Scapteromys aquaticus,Hantaviridae,,ELISA,1,0,1,,
req_86,req_86,req_1,Akodon azarae,Hantaviridae,,ELISA,1,0,1,,
req_87,req_87,req_1,Akodon azarae,Hantaviridae,,ELISA,1,0,1,,
req_88,req_88,req_1,Akodon azarae,Hantaviridae,,ELISA,1,0,1,,
req_89,req_89,req_1,Oligoryzomys flavescens,Hantaviridae,,ELISA,1,0,1,,
req_90,req_90,req_1,Akodon azarae,Hantaviridae,,ELISA,1,0,1,,
req_91,req_91,req_1,Cavia aperea,Hantaviridae,,ELISA,1,0,1,,
req_92,req_92,req_1,Akodon azarae,Hantaviridae,,ELISA,1,0,1,,
req_93,req_93,req_1,Scapteromys aquaticus,Hantaviridae,,ELISA,1,0,1,,
req_94,req_94,req_1,Scapteromys aquaticus,Hantaviridae,,ELISA,1,0,1,,
req_95,req_95,req_1,Scapteromys aquaticus,Hantaviridae,,ELISA,1,0,1,,
req_96,req_96,req_1,Scapteromys aquaticus,Hantaviridae,,ELISA,1,0,1,,
req_97,req_97,req_1,Scapteromys aquaticus,Hantaviridae,,ELISA,1,0,1,,
req_98,req_98,req_1,Scapteromys aquaticus,Hantaviridae,,ELISA,1,0,1,,
req_99,req_99,req_1,Oligoryzomys flavescens,Hantaviridae,,ELISA,1,0,1,,
req_100,req_100,req_1,Scapteromys aquaticus,Hantaviridae,,ELISA,1,0,1,,
req_101,req_101,req_1,Scapteromys aquaticus,Hantaviridae,,ELISA,1,1,0,,
req_102,req_102,req_1,Oligoryzomys flavescens,Hantaviridae,,ELISA,1,0,1,,
req_103,req_103,req_1,Akodon azarae,Hantaviridae,,ELISA,1,0,1,,
req_104,req_104,req_1,Akodon azarae,Hantaviridae,,ELISA,1,0,1,,
req_105,req_105,req_1,Akodon azarae,Hantaviridae,,ELISA,1,0,1,,
req_106,req_106,req_1,Rattus rattus,Hantaviridae,,ELISA,1,0,1,,
req_107,req_107,req_1,Scapteromys aquaticus,Hantaviridae,,ELISA,1,0,1,,
