pathogen_record_id,associated_rodent_record_id,study_id,associatedTaxa,family,scientificName,assay,tested,positive,negative,number_inconclusive,note,,,,
29624,21431,85,Hybomys univittatus,Arenaviridae,Lymphocytic choriomeningitis virus,RT-PCR,5,0,5,,,,,,
29625,21432,85,Oenomys hypoxanthus,Arenaviridae,Lymphocytic choriomeningitis virus,RT-PCR,6,0,6,,,,,,
29626,21433,85,Stochomys longicaudatus,Arenaviridae,Lymphocytic choriomeningitis virus,RT-PCR,6,0,6,,,,,,
29627,21434,85,Rattus rattus,Arenaviridae,Lymphocytic choriomeningitis virus,RT-PCR,16,0,16,,,,,,
29628,21435,85,Crocidura goliath,Arenaviridae,Lymphocytic choriomeningitis virus,RT-PCR,119,0,119,,,,,,
29629,21436,85,Atherurus africanus,Arenaviridae,Lymphocytic choriomeningitis virus,RT-PCR,18,1,17,,,,,,
29630,21437,85,Cricetomys emini,Arenaviridae,Lymphocytic choriomeningitis virus,RT-PCR,1,0,1,,,,,,
29631,21438,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,193,0,193,,,,,,
29632,21439,86,Rattus norvegicus,Hantaviridae,Mayotte virus,RT-PCR,44,0,44,,,,,,
29633,21440,86,Mus musculus,Hantaviridae,Mayotte virus,RT-PCR,67,0,67,,,,,,
29634,21441,86,Suncus murinus,Hantaviridae,Mayotte virus,RT-PCR,133,0,133,,,,,,
29635,21442,86,Tenrec ecaudatus,Hantaviridae,Mayotte virus,RT-PCR,45,0,45,,,,,,
29636,21443,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,30,0,30,,,,,,
29637,21444,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,5,0,5,,,,,,
29638,21445,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,1,0,1,,,,,,
29639,21446,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,10,0,10,,,,,,
29640,21447,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,19,0,19,,,,,,
29641,21448,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,20,0,20,,,,,,
29642,21449,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,17,0,17,,,,,,
29643,21450,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,11,0,11,,,,,,
29644,21451,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,19,0,19,,,,,,
29645,21452,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,1,1,0,,,,,,
29646,21453,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,1,1,0,,,,,,
29647,21454,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,1,1,0,,,,,,
29648,21455,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,1,1,0,,,,,,
29649,21456,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,1,1,0,,,,,,
29650,21457,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,1,1,0,,,,,,
29651,21458,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,1,1,0,,,,,,
29652,21459,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,1,1,0,,,,,,
29653,21460,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,1,1,0,,,,,,
29654,21461,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,1,1,0,,,,,,
29655,21462,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,1,1,0,,,,,,
29656,21463,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,1,1,0,,,,,,
29657,21464,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,1,1,0,,,,,,
29658,21465,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,1,1,0,,,,,,
29659,21466,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,1,1,0,,,,,,
29660,21467,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,1,1,0,,,,,,
29661,21468,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,1,1,0,,,,,,
29662,21469,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,1,1,0,,,,,,
29663,21470,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,1,1,0,,,,,,
29664,21471,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,1,1,0,,,,,,
29665,21472,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,1,1,0,,,,,,
29666,21473,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,1,1,0,,,,,,
29667,21474,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,1,1,0,,,,,,
29668,21475,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,1,1,0,,,,,,
29669,21476,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,1,1,0,,,,,,
29670,21477,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,1,1,0,,,,,,
29671,21478,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,1,1,0,,,,,,
29672,21479,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,1,1,0,,,,,,
29673,21480,86,Rattus rattus,Hantaviridae,Mayotte virus,RT-PCR,1,1,0,,,,,,
29674,21481,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29675,21482,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29676,21483,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29677,21484,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29678,21485,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29679,21486,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29680,21487,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29681,21488,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29682,21489,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29683,21490,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29684,21491,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29685,21492,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29686,21493,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29687,21494,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29688,21495,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29689,21496,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29690,21497,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29691,21498,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29692,21499,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29693,21500,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29694,21501,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29695,21502,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29696,21503,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29697,21504,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29698,21505,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29699,21506,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29700,21507,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29701,21508,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29702,21509,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29703,21510,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29704,21511,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29705,21512,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29706,21513,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29707,21514,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29708,21515,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29709,21516,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29710,21517,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29711,21518,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29712,21519,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29713,21520,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29714,21521,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29715,21522,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29716,21523,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29717,21524,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29718,21525,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29719,21526,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29720,21527,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29721,21528,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29722,21529,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29723,21530,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29724,21531,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29725,21532,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29726,21533,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29727,21534,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29728,21535,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29729,21536,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29730,21537,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29731,21538,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29732,21539,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29733,21540,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29734,21541,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29735,21542,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29736,21543,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29737,21544,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29738,21545,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29739,21546,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29740,21547,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29741,21548,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29742,21549,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29743,21550,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29744,21551,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29745,21552,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29746,21553,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29747,21554,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,neg_uncertain,,,,
29748,21555,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29749,21556,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29750,21557,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29751,21558,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29752,21559,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29753,21560,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29754,21561,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,1,0,,,,,,
29755,21562,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29756,21563,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29757,21564,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29758,21565,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29759,21566,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29760,21567,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29761,21568,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29762,21569,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29763,21570,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29764,21571,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29765,21572,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29766,21573,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29767,21574,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29768,21575,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29769,21576,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29770,21577,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29771,21578,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29772,21579,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29773,21580,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29774,21581,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29775,21582,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29776,21583,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29777,21584,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29778,21585,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29779,21586,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29780,21587,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29781,21588,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29782,21589,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29783,21590,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29784,21591,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29785,21592,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29786,21593,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29787,21594,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29788,21595,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29789,21596,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29790,21597,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29791,21598,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29792,21599,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29793,21600,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,neg_uncertain,,,,
29794,21601,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29795,21602,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29796,21603,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29797,21604,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29798,21605,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,neg_uncertain,,,,
29799,21606,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29800,21607,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29801,21608,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29802,21609,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29803,21610,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,neg_uncertain,,,,
29804,21611,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29805,21612,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29806,21613,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29807,21614,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29808,21615,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29809,21616,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29810,21617,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29811,21618,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29812,21619,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29813,21620,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29814,21621,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29815,21622,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29816,21623,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29817,21624,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29818,21625,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29819,21626,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29820,21627,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,neg_uncertain,,,,
29821,21628,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29822,21629,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29823,21630,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29824,21631,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29825,21632,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29826,21633,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29827,21634,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29828,21635,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29829,21636,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29830,21637,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29831,21638,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29832,21639,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
29833,21640,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29834,21641,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29835,21642,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29836,21643,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29837,21644,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,,,,,,
29838,21645,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,,,,,,
