link,year_publication,title,journal_name,aim_1,aim_2,aim_3,first_author,reference_uid,unique_id,metric,trap_types,trapping_method,repeated_visit,geolocation_level,speciation,aim,aim_detail,species_accumulation,diversity_measurement,trapping_effort,pathogen,supplementary_data,funding
https://doi.org/10.1089/vbz.2017.2135,2017,"Serological survey of zoonotic viruses in invasive and native commensal rodents in Senegal, West Africa",Vector-Borne and Zoonotic Diseases,To characterise the zoonotic viral species in Senegal,,,Christophe Diagne,10.1089/vbz.2017.2135,cd_2017_senegal_2,abundance,not_stated,purposeful_houses,no,study_site,"morphological, molecular",Zoonoses risk,Prevalence of zoonoses in animal population,No,No,No,Yes,,
http://link.springer.com/10.1007/s10661-017-5960-0,2017,Impact of mining and forest regeneration on small mammal biodiversity in the Western Region of Ghana,Environmental Monitoring and Assessment,"To determine whether mining has any effect on the distribution, abundance, composition and diversity of small mammals, by comparing mined and unmined areas",Establish to what extent mitigation programmes like rehabilitation and natural regeneration of forest have been effective in reestablishing biodiversity in rehabilitated areas,,Daniel Attuquayefio,10.1007/s10661-017-5960-0,da_2017_ghana,abundance,sherman,line_transect,yes,study,morphological,Ecology,"Biodiversity, Impact of land use change on species composition",No,Yes,Yes,No,,
https://doi.org/10.3201/eid2104.141469,2015,"Sequence Variability and Geographic Distribution of Lassa Virus, Sierra Leone",Emerging Infectious Diseases,To identify circulating strains of LASV in rodents captured in peri-domestic settings in Sierra Leone,,,Thomasz Leski,10.3201/eid2104.141469,tl_2015_sierraleone,abundance,"sherman, local_wire_mesh",purposeful_houses,no,study_site,"morphological, molecular",Zoonoses risk,Prevalence of zoonoses in animal population,No,No,Incomplete,Yes,,
https://doi.org/10.1016/j.actatropica.2015.08.016,2015,Borrelia infection in small mammals in West Africa and its relationship with tick occurrence inside burrows,Acta Tropica,To analyse species composition and distribution of animals collected and whether Borrelia infection rates altered according to bioclimatic parameters and the presence or absence of ticks in burrows of the areas where they were collected,,,Georges Diatta,10.1016/j.actatropica.2015.08.016,gd_2015_multiple,abundance,"sherman, local_wire_mesh",purposeful_houses,no,study_site,"morphological, molecular",Zoonoses risk,"Effect of environment and climate on arthropod vectors, Risk of spillover",No,No,No,Yes,,
https://www.silvavir.com/wp-content/uploads/2011/06/SilvaVir_Chimbo_SmMammalsAmphibians_Boe_Report_2015_DEF_web.pdf,2015,"Small terrestrial mammal and amphibian survey Boé region, Guinea-Bissau.",Silvavir Forest Consultants,To catalogue the rodent and amphibians of Boe,,,R Mol,osf.io/nj5v8/,rm_2015_guineabissau,abundance,"sherman, heslinga",line_transect,no,study,morphological,Ecology,"Biodiversity, Small mammal survey",Yes,No,Incomplete,No,,
https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0003437,2015,"Source Tracking Mycobacterium ulcerans Infections in the Ashanti Region, Ghana",PLOS NTD,Assess the role of small mammals as reservoirs of mycobacterium ulcerans,,,Charles Narh,10.1371/journal.pntd.0003437,cn_2015_ghana,presence,sherman,random_selection,no,study_site,morphological,Zoonoses risk,Investigate potential reservoir of pathogen,No,No,Incomplete,Yes,,
https://www.omicsonline.org/open-access/detection-of-mycobacterium-ulcerans-in-mastomys-natalensis-and-potential-transmission-in-buruli-ulcer-endemic-areas-in-cte-divoire-2161-1068-1000184.php?aid=56074,2015,Detection of Mycobacterium ulcerans in Mastomys natalensis and Potential Transmission in Buruli ulcer Endemic Areas in Côte d'Ivoire,Mycobacterial Diseases,To identify buruli ulcer like infections in small mammals which lived in close proximity to human environments,,,Christelle Dassi,10.4172/2161-1068.1000184,cd_2015_ghana,abundance,sherman,not_stated,no,study,morphological,Zoonoses risk,Investigate potential reservoir of pathogen,No,No,Yes,Yes,,
https://doi.org/10.1371/journal.pone.0110666,2014,"Spatial Segregation between invasive and native commensal rodents in an urban environment: a case study in Niamey, Niger",PLOS One,To describe the urban rodent community in Niamey,,,Madougou Garba,10.1371/journal.pone.0110666,mg_2014_niger,abundance,"sherman, local_wire_mesh","purposeful_houses, line_transect",no,trap_site,"morphological, molecular",Ecology,"Biodiversity, Rodent assemblage in an urban setting",No,No,Incomplete,No,,
http://ugspace.ug.edu.gh/handle/123456789/6306,2014,"Preliminary checklist and aspects of the ecology of small mammals at the University of Ghana Botanical Garden, Accra Plains, Ghana",Journal of Biodiversity and Environmental Sciences,Identify the small mammal species composition at the study site,,,Benjamin Ofori,2222-3045,bo_2014_ghana,abundance,sherman,line_transect,yes,study_site,morphological,Ecology,"Biodiversity, Small mammal survey",No,Yes,Yes,No,,
https://doi.org/10.1371/journal.pone.0078473,2013,"The epidemiology and geographic distribution of relapsing fever borreliosis in West and North Africa, with a review of the ornithodoros erraticus complex (Acari: Ixodida)",PLOS One,"To investigate the distribution and epidemiology of TBRF in West, North and Central Africa",,,Jean-Francois Trape,10.1371/journal.pone.0078473,jt_2013_multiple,abundance,lattice_work_traps,line_transect,no,study_site,"morphological, molecular",Zoonoses risk,Investigate distribution of zoonotic bacteria,No,No,Incomplete,Yes,,
